text,intent
كم رصيدي,balance
كم رصيدي الآن,balance
كم رصيدي بسرعة,balance
كم رصيدي لو سمحت,balance
كم رصيدي من فضلك,balance
لو سمحت كم رصيدي,balance
لو سمحت كم رصيدي الآن,balance
لو سمحت كم رصيدي بسرعة,balance
لو سمحت كم رصيدي لو سمحت,balance
لو سمحت كم رصيدي من فضلك,balance
ممكن كم رصيدي,balance
ممكن كم رصيدي الآن,balance
ممكن كم رصيدي بسرعة,balance
ممكن كم رصيدي لو سمحت,balance
ممكن كم رصيدي من فضلك,balance
أبي كم رصيدي,balance
أبي كم رصيدي الآن,balance
أبي كم رصيدي بسرعة,balance
أبي كم رصيدي لو سمحت,balance
أبي كم رصيدي من فضلك,balance
أحتاج كم رصيدي,balance
أحتاج كم رصيدي الآن,balance
أحتاج كم رصيدي بسرعة,balance
أحتاج كم رصيدي لو سمحت,balance
أحتاج كم رصيدي من فضلك,balance
ياليت كم رصيدي,balance
ياليت كم رصيدي الآن,balance
ياليت كم رصيدي بسرعة,balance
ياليت كم رصيدي لو سمحت,balance
ياليت كم رصيدي من فضلك,balance
أبي أشوف رصيدي,balance
اعرض الرصيد,balance
وش رصيدي الحالي,balance
كم باقي في حسابي,balance
كم معي فلوس,balance
ورني الرصيد,balance
أبي أعرف رصيدي,balance
افتح صفحة الرصيد,balance
رصيدي كم,balance
افتح البطاقات,cards
افتح البطاقات الآن,cards
افتح البطاقات بسرعة,cards
افتح البطاقات لو سمحت,cards
افتح البطاقات من فضلك,cards
لو سمحت افتح البطاقات,cards
لو سمحت افتح البطاقات الآن,cards
لو سمحت افتح البطاقات بسرعة,cards
لو سمحت افتح البطاقات لو سمحت,cards
لو سمحت افتح البطاقات من فضلك,cards
ممكن افتح البطاقات,cards
ممكن افتح البطاقات الآن,cards
ممكن افتح البطاقات بسرعة,cards
ممكن افتح البطاقات لو سمحت,cards
ممكن افتح البطاقات من فضلك,cards
أبي افتح البطاقات,cards
أبي افتح البطاقات الآن,cards
أبي افتح البطاقات بسرعة,cards
أبي افتح البطاقات لو سمحت,cards
أبي افتح البطاقات من فضلك,cards
أحتاج افتح البطاقات,cards
أحتاج افتح البطاقات الآن,cards
أحتاج افتح البطاقات بسرعة,cards
أحتاج افتح البطاقات لو سمحت,cards
أحتاج افتح البطاقات من فضلك,cards
ياليت افتح البطاقات,cards
ياليت افتح البطاقات الآن,cards
ياليت افتح البطاقات بسرعة,cards
ياليت افتح البطاقات لو سمحت,cards
ياليت افتح البطاقات من فضلك,cards
أبي بطاقاتي,cards
اعرض البطاقات,cards
وين بطاقاتي,cards
روح للبطاقات,cards
افتح بطاقة مدى,cards
أبي أشوف بطاقاتي,cards
اعرض بطاقة الائتمان,cards
ورني البطاقات,cards
انتقل إلى البطاقات,cards
روح للرئيسية,home
روح للرئيسية الآن,home
روح للرئيسية بسرعة,home
روح للرئيسية لو سمحت,home
روح للرئيسية من فضلك,home
لو سمحت روح للرئيسية,home
لو سمحت روح للرئيسية الآن,home
لو سمحت روح للرئيسية بسرعة,home
لو سمحت روح للرئيسية لو سمحت,home
لو سمحت روح للرئيسية من فضلك,home
ممكن روح للرئيسية,home
ممكن روح للرئيسية الآن,home
ممكن روح للرئيسية بسرعة,home
ممكن روح للرئيسية لو سمحت,home
ممكن روح للرئيسية من فضلك,home
أبي روح للرئيسية,home
أبي روح للرئيسية الآن,home
أبي روح للرئيسية بسرعة,home
أبي روح للرئيسية لو سمحت,home
أبي روح للرئيسية من فضلك,home
أحتاج روح للرئيسية,home
أحتاج روح للرئيسية الآن,home
أحتاج روح للرئيسية بسرعة,home
أحتاج روح للرئيسية لو سمحت,home
أحتاج روح للرئيسية من فضلك,home
ياليت روح للرئيسية,home
ياليت روح للرئيسية الآن,home
ياليت روح للرئيسية بسرعة,home
ياليت روح للرئيسية لو سمحت,home
ياليت روح للرئيسية من فضلك,home
افتح الصفحة الرئيسية,home
ارجع للرئيسية,home
